node,seq,time_s,rssi_dbm,uav_x,uav_y,uav_z
1,1,7.001554108,-80.8473800377,-26.7441251706,22.1152198354,30
25,2,9.401554111,-81.1765935916,-22.8398670167,-13.6724472326,30
25,3,11.401554117,-81.7455743101,-19.5863185494,-43.4955031748,30
49,4,13.8015541,-79.9426317307,-15.6820604281,-79.2831699445,30
61,5,16.001554111,-81.1729732967,-12.1031571069,-112.088531547,30
73,5,16.201554112,-81.2679910104,-11.7778022595,-115.070837147,30
73,6,18.201554114,-81.4460552584,-8.52425379872,-144.893893029,30
85,6,18.401554107,-80.7293395164,-8.19889896436,-147.87619851,30
97,7,20.601554106,-80.5993069079,-4.6199956627,-180.681559933,30
109,8,22.801554102,-80.1372452363,-1.04109236593,-213.486921312,30
109,9,24.801554102,-80.1003066196,0.000818354381766,-202.646674351,30
97,10,26.601554114,-81.4333018206,0.000714771704607,-175.646674274,30
98,10,26.618220781,-81.4492030401,0.000714064337925,-175.396674275,30
85,11,28.401554103,-80.2579702667,0.000597652621641,-148.646675678,30
73,12,30.201554115,-81.5796984732,0.000477091124625,-121.646677872,30
74,12,30.218220782,-81.6002078025,0.00047638374961,-121.396677896,30
61,13,32.001554105,-80.4611503795,0.000400694065523,-94.646681527,30
37,14,33.601554118,-81.8541849806,0.00032601658074,-70.6466853378,30
49,14,33.801554117,-81.7622699273,0.000309038980824,-67.646685981,30
50,14,33.818220784,-81.7869867348,0.000307624180795,-67.3966860284,30
37,15,35.601554107,-80.7051392728,0.000163008385644,-40.6466830442,30
13,16,37.201554114,-81.5057663859,9.50979853129e-05,-16.6466002545,30
25,16,37.401554119,-81.9776259904,8.66091850964e-05,-13.6465898439,30
13,17,39.20155411,-80.9847802243,-6.44708578574e-05,13.3534041088,30
2,20,45.018220779,-81.2765620827,29.9998816797,28.7337045442,30
3,20,45.034887445,-81.2696972554,29.9998828026,28.4837046438,30
14,21,47.218220768,-80.0444406554,30.0000298859,-4.26628470255,30
26,22,49.418220785,-81.8629975816,30.0001780871,-37.2662760672,30
27,22,49.434887451,-81.8895943925,30.0001792098,-37.5162759912,30
38,22,49.618220774,-80.7607233215,30.0001915597,-40.2662752149,30
38,23,51.618220784,-81.7799132852,30.0003199812,-70.2662689593,30
50,23,51.81822078,-81.3504883956,30.0003249646,-73.2662683893,30
51,23,51.834887446,-81.3387769839,30.0003253798,-73.5162683368,30
62,24,54.018220767,-79.9632546311,30.0004030636,-106.266262973,30
74,25,56.218220783,-81.6744242671,30.0005512552,-139.26625969,30
75,25,56.234887449,-81.6972711268,30.0005523778,-139.516259661,30
86,25,56.418220777,-81.0300697345,30.0005647269,-142.266259373,30
86,26,58.418220781,-81.4546018084,30.0006994429,-172.266257833,30
98,26,58.618220781,-81.4607134936,30.0007129144,-175.266257748,30
99,26,58.634887447,-81.4443953915,30.000714037,-175.51625773,30
110,27,60.818220767,-79.92930154,30.0008610996,-208.266257548,30
111,28,62.834887448,-81.5175669936,50.200266941,-221.404749949,30
111,29,64.834887434,-80.0794899991,60.0007976903,-202.973983809,30
99,30,66.634887447,-81.413332923,60.0006798862,-175.973983696,30
100,30,66.651554114,-81.4284800685,60.0006790557,-175.723983696,30
87,31,68.434887436,-80.2294470915,60.0005901921,-148.973985079,30
75,32,70.234887448,-81.5536542773,60.0005004948,-121.97398725,30
76,32,70.251554115,-81.5734467532,60.0004996643,-121.723987273,30
