node,seq,time_s,rssi_dbm,uav_x,uav_y,uav_z
1,1,7.001554116,-81.6329257709,-25.6587662732,12.1664763505,30
25,2,9.401554107,-80.666574224,-20.4530887606,-35.5504128349,30
49,3,11.801554102,-80.1085302414,-15.2474112394,-83.2673020998,30
73,4,14.201554101,-80.0930309408,-10.0417337096,-130.984191444,30
97,5,16.601554106,-80.6242016434,-4.83605616668,-178.701080908,30
109,6,18.801554111,-81.169258818,-0.0641850847924,-222.441562925,30
97,7,20.601554114,-81.4095197233,0.000748703860613,-187.638903472,30
98,7,20.61822078,-81.3904714559,0.000747760705093,-187.305570159,30
85,8,22.401554101,-80.0429105286,0.000614586490286,-151.638905014,30
61,9,24.001554113,-81.3548814441,0.000471410680387,-119.638907583,30
49,10,25.801554113,-81.4050284583,0.000369547386992,-83.6389126424,30
50,10,25.81822078,-81.3862252284,0.000368604198084,-83.3055793565,30
37,11,27.601554101,-80.0470911206,0.000195811549853,-47.6389199209,30
13,12,29.201554113,-81.3425059857,9.22469402656e-05,-15.6388262475,30
1,13,31.001554113,-81.4005937567,-9.45097730488e-05,20.3611724185,30
2,13,31.01822078,-81.3820361211,-9.54529841792e-05,20.6945056418,30
2,15,35.018220779,-81.2741963889,29.9998820871,28.6426006696,30
3,15,35.034887445,-81.2654713617,29.9998835843,28.309267469,30
14,16,37.218220779,-81.2880857268,30.0000796962,-15.3573856686,30
26,16,37.418220781,-81.4628264066,30.00009766,-19.3573846526,30
27,16,37.434887447,-81.4410972903,30.0000991569,-19.6907178846,30
38,17,39.618220774,-80.7146562292,30.0002952593,-63.3573740661,30
50,17,39.818220784,-81.7961903682,30.0003132228,-67.3573733981,30
51,17,39.83488745,-81.7630815647,30.0003147198,-67.6907066457,30
62,18,42.01822077,-80.2749701867,30.0004259267,-111.357366235,30
86,19,44.418220768,-80.004985263,30.0006414761,-159.35736184,30
110,20,46.818220767,-79.9300229108,30.0008570188,-207.357361358,30
111,21,48.834887445,-81.2494732042,59.2498809021,-222.912977557,30
99,22,50.634887447,-81.4190831855,60.0007191704,-187.799546214,30
100,22,50.651554113,-81.3995362085,60.0007180631,-187.466212901,30
87,23,52.434887434,-80.0344005902,60.0005995794,-151.799547742,30
63,24,54.034887446,-81.3808450234,60.0004932715,-119.799550294,30
51,25,55.834887447,-81.4144946971,60.0003736697,-83.7995553185,30
52,25,55.851554113,-81.3951630602,60.0003725622,-83.4662220526,30
39,26,57.634887434,-80.0384289005,60.0001826463,-47.7995625994,30
15,27,59.234887446,-81.3684142548,60.0000628508,-15.7995703333,30
3,28,61.034887447,-81.4099367554,59.9999432323,20.2004187489,30
4,28,61.051554113,-81.3908596816,59.9999421247,20.5337519521,30
4,30,65.051554112,-81.2788131415,89.9998719702,28.8038562374,30
5,30,65.068220779,-81.2695501099,89.9998736317,28.4705230168,30
16,31,67.251554112,-81.2626925399,90.0000710166,-15.1962411364,30
28,31,67.451554114,-81.4736771956,90.0000796339,-19.1962401212,30
29,31,67.468220781,-81.4514663835,90.0000803521,-19.5295733733,30
40,32,69.651554107,-80.6939236016,90.0002456078,-63.1962295561,30
52,32,69.851554118,-81.8124644542,90.0002655429,-67.1962289088,30
53,32,69.868220784,-81.7789647575,90.0002672042,-67.5295621565,30
64,33,72.051554103,-80.2604751946,90.0004475852,-111.196221719,30
88,34,74.451554101,-79.9980214996,90.0006391245,-159.196217319,30
112,35,76.8515541,-79.9312788102,90.0008240939,-207.196216849,30
113,36,78.868220779,-81.2467507449,119.091098854,-222.88634771,30
101,37,80.668220781,-81.4289181341,120.00077469,-187.960335494,30
102,37,80.684887447,-81.4088427544,120.000773418,-187.627002181,30
89,38,82.468220768,-80.0262102487,120.00063737,-151.960337006,30
65,39,84.068220781,-81.4069564242,120.000515299,-119.960339524,30
53,40,85.868220781,-81.4241944057,120.000377959,-83.9603445508,30
54,40,85.884887446,-81.4043689787,120.000376687,-83.6270113048,30
41,41,87.668220768,-80.0300856107,120.000169648,-47.9603518099,30
17,42,89.26822078,-81.3944552833,120.000033622,-15.9603595235,30
5,43,91.068220781,-81.4195071171,119.999896252,20.0397406242,30
6,43,91.084887446,-81.3999454531,119.99989498,20.3730738076,30
6,45,95.084887445,-81.2836906167,149.999881511,28.964965044,30
7,45,95.101554112,-81.2738724742,149.999882394,28.6316318231,30
18,46,97.284887445,-81.2374238118,150.000082899,-15.0350212703,30
30,46,97.484887447,-81.4847842356,150.000093489,-19.0350202559,30
31,46,97.501554114,-81.4620593482,150.000094371,-19.368353508,30
42,47,99.68488744,-80.6734146798,150.000280697,-63.0350096969,30
54,47,99.884887451,-81.8289486272,150.000302603,-67.0350090512,30
55,47,99.901554117,-81.7950264505,150.000304429,-67.3683422991,30
66,48,102.084887436,-80.2462640211,150.000458671,-111.035001864,30
90,49,104.484887434,-79.9913833998,150.000636623,-159.034997462,30
114,50,106.884887433,-79.9328717287,150.000845684,-207.034996998,30
115,51,108.901554107,-80.7163183995,172.533105671,-199.260831967,30
91,52,110.501554112,-81.2216911808,180.000670708,-170.758485417,30
79,53,112.301554113,-81.35964384,180.000515654,-134.758487445,30
80,53,112.31822078,-81.3435704433,180.000514218,-134.425154127,30
67,54,114.101554102,-80.0974937433,180.00037269,-98.758491891,30
43,55,115.701554112,-81.2097255185,180.000307615,-66.7584971497,30
31,56,117.501554113,-81.3558464614,180.000152514,-30.7585052273,30
32,56,117.51822078,-81.3400159116,180.000151077,-30.4251719725,30
19,57,119.301554102,-80.1025336072,179.999997399,5.24155215412,30
20,60,125.318220768,-80.0212437533,210.000002704,3.76359339482,30
