node,seq,time_s,rssi_dbm,uav_x,uav_y,uav_z
1,2,9.001554111,-81.1145167258,-27.8303267767,32.0716878547,30
1,3,11.001554108,-80.8473658567,-26.7458106259,22.130669252,30
1,4,13.001554116,-81.6328341024,-25.661294469,12.1896505947,30
25,6,17.401554117,-81.7808364768,-23.275358933,-9.68059036897,30
25,7,19.401554105,-80.5004218749,-22.1908427869,-19.6216089269,30
25,8,21.401554103,-80.2457265985,-21.1063266355,-29.5626275345,30
25,9,23.401554111,-81.1467158216,-20.0218104787,-39.5036461919,30
37,10,25.601554118,-81.8865904236,-18.8288427071,-50.438766706,30
49,11,27.801554115,-81.5249210662,-17.635874941,-61.3738871704,30
49,12,29.801554103,-80.2232062384,-16.551358795,-71.3149057283,30
49,13,31.801554101,-80.0004561429,-15.4668426436,-81.255924336,30
49,14,33.801554109,-80.9747346232,-14.3823264867,-91.1969429933,30
61,14,34.001554118,-81.8147212474,-14.2738748666,-92.1910448998,30
61,15,36.001554109,-80.9821407986,-13.189358719,-102.132063473,30
61,16,38.001554111,-81.1729375672,-12.1048425654,-112.0730821,30
73,16,38.201554115,-81.5793613565,-11.9963909479,-113.067183982,30
73,17,40.201554104,-80.3331966894,-10.9118748014,-123.008202545,30
73,18,42.201554102,-80.1580402772,-9.82735864998,-132.949221152,30
73,19,44.201554111,-81.1450989864,-8.74284249259,-142.890239815,30
85,19,44.401554112,-81.2039542202,-8.63439087679,-143.884341681,30
85,20,46.401554103,-80.3145501837,-7.54987472917,-153.825360254,30
85,21,48.401554106,-80.5683768953,-6.46535857503,-163.766378887,30
97,21,48.601554119,-81.9358427675,-6.35690695273,-164.760480813,30
85,22,50.401554118,-81.8371651372,-5.38084241602,-173.707397564,30
97,22,50.601554108,-80.8098162737,-5.27239080619,-174.701499376,30
97,23,52.601554107,-80.688138172,-4.18787465422,-184.642517989,30
98,23,52.618220786,-81.9750946525,-4.17883701293,-184.725359872,30
97,24,54.601554116,-81.6298513575,-3.10335849683,-194.583536651,30
109,24,54.801554109,-80.8858428285,-2.99490688538,-195.577638478,30
109,25,56.801554101,-79.9873041343,-1.91039073721,-205.518657056,30
109,26,58.801554103,-80.2977221351,-0.825874583612,-215.459675683,30
109,27,60.801554109,-80.9121667791,0.000920305469559,-220.66221582,30
109,28,62.801554101,-79.9799817846,0.000863715136309,-210.662215595,30
109,29,64.801554103,-80.2545152927,0.000807124802776,-200.662215319,30
97,30,66.601554117,-81.7172675651,0.000760087685041,-191.662215074,30
98,30,66.618220783,-81.709449411,0.000759851896161,-191.578881746,30
109,30,66.801554115,-81.5905954424,0.000757258218397,-190.662215105,30
97,31,68.601554112,-81.2367595725,0.000731793018389,-181.662215305,30
98,31,68.618220779,-81.2369621959,0.000731557229495,-181.578881972,30
85,32,70.401554115,-81.5250546211,0.000706327818297,-172.662215476,30
97,32,70.601554117,-81.7547148077,0.000703498351596,-171.662215486,30
98,32,70.618220784,-81.7628433595,0.000703262562702,-171.578882153,30
85,33,72.401554103,-80.2207671226,0.000676968510578,-162.66221576,30
85,34,74.401554101,-79.9952140869,0.000620377510555,-152.66221645,30
85,35,76.401554109,-80.9680005407,0.000563786510249,-142.66221709,30
73,36,78.201554113,-81.3100024,0.000512854610065,-133.662217682,30
74,36,78.21822078,-81.3068101744,0.000512383018388,-133.578884353,30
73,37,80.201554114,-81.4356734857,0.000482794638911,-123.6622188,30
74,37,80.218220781,-81.440941161,0.00048255884724,-123.578885474,30
61,38,82.001554106,-80.636128318,0.000457329138998,-114.662219877,30
61,39,84.0015541,-79.9319020279,0.000429034139053,-104.662221059,30
61,40,86.001554105,-80.4610953346,0.000400738580543,-94.6622225794,30
49,41,87.801554115,-81.5397802015,0.000375272480382,-85.6622239892,30
50,41,87.818220782,-81.533435333,0.000375036683155,-85.5788906678,30
61,41,88.001554119,-81.9505275148,0.000372442913657,-84.6622241314,30
49,42,89.801554112,-81.2634133213,0.000346976813736,-75.6622256263,30
50,42,89.818220779,-81.2654089434,0.000346741016509,-75.5788923048,30
37,43,91.601554111,-81.1912083166,0.000303468272176,-66.6622273922,30
49,43,91.801554119,-81.9732148958,0.000297809071948,-65.6622275616,30
50,43,91.818220786,-81.9826393884,0.000297337471939,-65.578894244,30
37,44,93.601554101,-80.0709293809,0.000246876272448,-56.6622295363,30
37,45,95.601554102,-80.1079120127,0.000190284272409,-46.6622316255,30
25,46,97.401554118,-81.9085837497,0.00015456410109,-37.6622137821,30
26,46,97.418220785,-81.8995721272,0.000154328301086,-37.57888016,30
37,46,97.601554112,-81.2824388596,0.000151734501173,-36.6622103669,30
25,47,99.401554112,-81.2513999516,0.000126268101156,-27.6621793602,30
26,47,99.418220779,-81.2499767164,0.000126032301151,-27.5788457381,30
13,48,101.201554118,-81.8475078791,0.000100801701054,-18.6621483234,30
25,48,101.401554115,-81.5859195116,9.79721010947e-05,-17.6621448932,30
26,48,101.418220782,-81.5927414171,9.77363010898e-05,-17.5788112711,30
13,49,103.201554104,-80.398538474,6.01222346393e-05,-8.66213034629,30
13,50,105.2015541,-79.939788907,3.52923475382e-06,1.33786659955,30
13,51,107.201554107,-80.7100519332,-5.30637654429e-05,11.3378636004,30
1,52,109.001554113,-81.4006367061,-9.44438114259e-05,20.3378607417,30
2,52,109.01822078,-81.3958938016,-9.46796142084e-05,20.4211940475,30
1,53,111.001554113,-81.334332366,-0.000122740144767,30.3378572396,30
2,53,111.01822078,-81.3380758143,-0.000122975947549,30.4211905455,30
2,60,125.018220779,-81.2815073948,29.9998808629,28.9159122647,30
3,60,125.034887445,-81.2790048907,29.9998812371,28.8325789645,30
2,61,127.018220781,-81.4905565212,29.9999257744,18.9159156936,30
3,61,127.034887447,-81.4964535914,29.9999261486,18.8325823896,30
14,61,127.218220784,-81.7178288635,29.9999302654,17.9159159898,30
14,62,129.218220771,-80.3236021249,29.9999751757,7.91591916694,30
14,63,131.218220767,-79.9562989148,30.0000200861,-2.08407770096,30
14,64,133.218220775,-80.8088175348,30.000064996,-12.0840748198,30
26,65,135.418220779,-81.2803436605,30.0001143963,-23.0840719357,30
27,65,135.434887445,-81.277868658,30.0001147705,-23.1674052437,30
26,66,137.418220781,-81.4932730668,30.0001593056,-33.0840693056,30
27,66,137.434887447,-81.4991943695,30.0001596798,-33.1674026136,30
38,66,137.618220784,-81.7112116403,30.0001637965,-34.0840690566,30
38,67,139.61822077,-80.3198974447,30.0002087055,-44.0840666306,30
38,68,141.618220767,-79.9573444194,30.0002536141,-54.0840644455,30
38,69,143.618220775,-80.8140329447,30.0002985228,-64.0840623154,30
50,70,145.818220779,-81.2791952142,30.0003279847,-75.0840602795,30
51,70,145.834887445,-81.276750658,30.0003281231,-75.1673935954,30
50,71,147.818220781,-81.4959880075,30.000344596,-85.0840585895,30
51,71,147.834887447,-81.5019558564,30.0003447345,-85.1673919054,30
62,71,148.018220783,-81.704601163,30.0003462572,-86.0840584295,30
62,72,150.01822077,-80.3162084697,30.0003628685,-96.0840566645,30
62,73,152.018220767,-79.9584089211,30.0004022459,-106.084055324,30
62,74,154.018220775,-80.8192603008,30.0004471529,-116.084054136,30
74,75,156.218220779,-81.2780647079,30.0004965506,-127.084052805,30
75,75,156.234887445,-81.2756546945,30.0004969248,-127.167386125,30
74,76,158.218220781,-81.4987387095,30.0005414564,-137.084052014,30
75,76,158.234887447,-81.5047289825,30.0005418306,-137.167385338,30
86,76,158.418220783,-81.6979974951,30.0005459469,-138.084051948,30
86,77,160.41822077,-80.3125352118,30.0005908526,-148.084051127,30
86,78,162.418220767,-79.9594924102,30.0006357583,-158.084050358,30
86,79,164.418220775,-80.8244995444,30.0006806633,-168.084050112,30
98,80,166.618220779,-81.2769462039,30.0007300588,-179.084049818,30
99,80,166.634887445,-81.274576976,30.000730433,-179.167383145,30
98,81,168.618220781,-81.5014956584,30.0007749637,-189.084049591,30
99,81,168.634887447,-81.5075227566,30.0007753379,-189.167382922,30
110,81,168.818220783,-81.6914006651,30.0007794541,-190.084049619,30
110,82,170.81822077,-80.3088777285,30.0008243584,-200.08404974,30
110,83,172.818220767,-79.9605948867,30.0008692628,-210.084049911,30
110,84,174.818220773,-80.6325337748,32.0188393022,-218.374595139,30
110,85,176.818220782,-81.5616743102,41.882783904,-220.018540805,30
111,86,178.834887447,-81.4068133637,51.8289279913,-221.676186009,30
111,87,180.834887443,-81.0071697545,60.0009105611,-221.322858596,30
111,88,182.834887434,-80.0068435112,60.0008490479,-211.322858374,30
111,89,184.834887435,-80.1984859964,60.0007875347,-201.322858101,30
99,90,186.63488745,-81.7812302983,60.0007341966,-192.322857818,30
100,90,186.651554117,-81.7729850348,60.0007339198,-192.239524485,30
111,90,186.834887447,-81.4803105818,60.0007308747,-191.322857854,30
99,91,188.634887445,-81.2376738638,60.0007009773,-182.322858047,30
100,91,188.651554112,-81.2373188757,60.0007007004,-182.239524714,30
87,92,190.434887449,-81.6362452481,60.0006710799,-173.322858211,30
99,92,190.634887449,-81.6921528555,60.0006677579,-172.322858232,30
100,92,190.651554116,-81.6998564002,60.0006674811,-172.239524898,30
87,93,192.434887436,-80.2787738192,60.0006378605,-163.32285848,30
87,94,194.434887433,-79.9706059894,60.0006046399,-153.32285916,30
87,95,196.434887441,-80.8743330047,60.0005714192,-143.322859798,30
75,96,198.234887446,-81.3378154028,60.0005415206,-134.322860383,30
76,96,198.251554113,-81.3340680414,60.0005412438,-134.239527054,30
75,97,200.234887446,-81.3962359549,60.0005082988,-124.322861471,30
76,97,200.251554113,-81.4009781839,60.0005080219,-124.239528145,30
63,98,202.03488744,-80.7200670654,60.000478399,-115.322862534,30
63,99,204.034887433,-79.9411651837,60.000445177,-105.322863717,30
