speedMps,flightTimeS,sent,received,deliveryRatio,sensorsReached,meanPacketsPerSensor,positionChecks,maxPositionErrorM
2,1893.5478823624999,113613,1399,0.012313731703238186,120,11.658333333333333,238,4.58380148435e-08
5,757.419152945,45446,545,0.011992254543854245,120,4.541666666666667,238,1.23133107253e-08
10,378.7095764725,22723,281,0.012366324869075386,120,2.341666666666667,238,2.5543528736e-08
15,252.47305098166663,15149,191,0.012608092943428609,119,1.5916666666666666,238,3.19671346497e-08
20,189.35478823625,11362,131,0.011529660271079035,109,1.0916666666666666,238,5.17066735419e-08
