node,seq,time_s
111,1,8.833333333
112,1,8.85
113,1,8.866666667
114,1,8.883333333
115,1,8.9
116,1,8.916666667
117,1,8.933333333
118,1,8.95
119,1,8.966666667
120,1,8.983333333
1,2,9
2,2,9.016666667
3,2,9.033333333
4,2,9.05
5,2,9.066666667
6,2,9.083333333
7,2,9.1
8,2,9.116666667
9,2,9.133333333
10,2,9.15
11,2,9.166666667
12,2,9.183333333
13,2,9.2
14,2,9.216666667
15,2,9.233333333
16,2,9.25
17,2,9.266666667
18,2,9.283333333
19,2,9.3
20,2,9.316666667
21,2,9.333333333
22,2,9.35
23,2,9.366666667
24,2,9.383333333
25,2,9.4
26,2,9.416666667
27,2,9.433333333
28,2,9.45
29,2,9.466666667
30,2,9.483333333
31,2,9.5
32,2,9.516666667
33,2,9.533333333
34,2,9.55
35,2,9.566666667
36,2,9.583333333
37,2,9.6
38,2,9.616666667
39,2,9.633333333
40,2,9.65
41,2,9.666666667
42,2,9.683333333
43,2,9.7
44,2,9.716666667
45,2,9.733333333
46,2,9.75
47,2,9.766666667
48,2,9.783333333
49,2,9.8
50,2,9.816666667
51,2,9.833333333
52,2,9.85
53,2,9.866666667
54,2,9.883333333
55,2,9.9
56,2,9.916666667
57,2,9.933333333
58,2,9.95
59,2,9.966666667
60,2,9.983333333
61,2,10
62,2,10.016666667
63,2,10.033333333
64,2,10.05
65,2,10.066666667
66,2,10.083333333
67,2,10.1
68,2,10.116666667
69,2,10.133333333
70,2,10.15
71,2,10.166666667
72,2,10.183333333
73,2,10.2
74,2,10.216666667
75,2,10.233333333
76,2,10.25
77,2,10.266666667
78,2,10.283333333
79,2,10.3
80,2,10.316666667
81,2,10.333333333
82,2,10.35
83,2,10.366666667
84,2,10.383333333
85,2,10.4
86,2,10.416666667
87,2,10.433333333
88,2,10.45
89,2,10.466666667
90,2,10.483333333
91,2,10.5
92,2,10.516666667
93,2,10.533333333
94,2,10.55
95,2,10.566666667
96,2,10.583333333
97,2,10.6
98,2,10.616666667
99,2,10.633333333
100,2,10.65
101,2,10.666666667
102,2,10.683333333
103,2,10.7
104,2,10.716666667
105,2,10.733333333
106,2,10.75
107,2,10.766666667
108,2,10.783333333
109,2,10.8
110,2,10.816666667
111,2,10.833333333
112,2,10.85
113,2,10.866666667
114,2,10.883333333
115,2,10.9
116,2,10.916666667
117,2,10.933333333
118,2,10.95
119,2,10.966666667
120,2,10.983333333
1,3,11
2,3,11.016666667
3,3,11.033333333
4,3,11.05
5,3,11.066666667
6,3,11.083333333
7,3,11.1
8,3,11.116666667
9,3,11.133333333
10,3,11.15
11,3,11.166666667
12,3,11.183333333
13,3,11.2
14,3,11.216666667
15,3,11.233333333
16,3,11.25
17,3,11.266666667
18,3,11.283333333
19,3,11.3
20,3,11.316666667
21,3,11.333333333
22,3,11.35
23,3,11.366666667
24,3,11.383333333
25,3,11.4
26,3,11.416666667
27,3,11.433333333
28,3,11.45
29,3,11.466666667
30,3,11.483333333
31,3,11.5
32,3,11.516666667
33,3,11.533333333
34,3,11.55
35,3,11.566666667
36,3,11.583333333
37,3,11.6
38,3,11.616666667
39,3,11.633333333
40,3,11.65
41,3,11.666666667
42,3,11.683333333
43,3,11.7
44,3,11.716666667
45,3,11.733333333
46,3,11.75
47,3,11.766666667
48,3,11.783333333
49,3,11.8
50,3,11.816666667
51,3,11.833333333
52,3,11.85
53,3,11.866666667
54,3,11.883333333
55,3,11.9
56,3,11.916666667
57,3,11.933333333
58,3,11.95
59,3,11.966666667
60,3,11.983333333
61,3,12
62,3,12.016666667
63,3,12.033333333
64,3,12.05
65,3,12.066666667
66,3,12.083333333
67,3,12.1
68,3,12.116666667
69,3,12.133333333
70,3,12.15
71,3,12.166666667
72,3,12.183333333
73,3,12.2
74,3,12.216666667
75,3,12.233333333
76,3,12.25
77,3,12.266666667
78,3,12.283333333
79,3,12.3
80,3,12.316666667
81,3,12.333333333
82,3,12.35
83,3,12.366666667
84,3,12.383333333
85,3,12.4
86,3,12.416666667
87,3,12.433333333
88,3,12.45
89,3,12.466666667
90,3,12.483333333
91,3,12.5
