node,seq,time_s,rssi_dbm,uav_x,uav_y,uav_z
1,4,13.001554114,-81.5037694737,-28.264638875,36.0527301328,30
1,5,15.001554111,-81.1145286252,-27.8308324147,32.0763226926,30
1,6,17.001554109,-80.8776305427,-27.3970259542,28.0999152503,30
1,7,19.001554108,-80.812821987,-26.9632194935,24.123507806,30
1,8,21.001554109,-80.925826095,-26.5294130324,20.1471003578,30
1,9,23.001554112,-81.2067549551,-26.0956065708,16.1706929056,30
1,10,25.001554116,-81.6328157683,-25.661800109,12.1942854514,30
25,15,35.401554119,-81.9793272314,-23.4060065116,-8.48303327494,30
25,16,37.401554113,-81.3474044847,-22.972200052,-12.4594407092,30
25,17,39.401554108,-80.8208638118,-22.5383935922,-16.4358481455,30
25,18,41.401554105,-80.4366599553,-22.1045871319,-20.4122555858,30
25,19,43.401554103,-80.2270315743,-21.6707806714,-24.3886630281,30
25,20,45.401554103,-80.2116954068,-21.2369742105,-28.3650704743,30
25,21,47.401554104,-80.3921569435,-20.8031677494,-32.3414779225,30
25,22,49.401554107,-80.751248111,-20.3693612878,-36.3178853747,30
25,23,51.401554112,-81.2581649309,-19.9355548258,-40.2942928309,30
25,24,53.401554118,-81.8761922474,-19.5017483636,-44.2707002891,30
37,25,55.601554119,-81.9610736646,-19.0245612564,-48.6447484819,30
37,26,57.601554118,-81.8358150237,-18.5907547957,-52.6211559262,30
37,27,59.601554118,-81.8597256625,-18.1569483348,-56.5975633724,30
49,28,61.801554115,-81.5918955319,-17.6797612284,-60.9716115573,30
49,29,63.801554109,-80.9644316456,-17.2459547688,-64.9480189916,30
49,30,65.801554105,-80.4553799792,-16.8121483087,-68.9244264299,30
49,31,67.801554102,-80.1037778344,-16.3783418485,-72.9008338701,30
49,32,69.8015541,-79.9415075874,-15.944535388,-76.8772413124,30
49,33,71.801554101,-79.9848019466,-15.5107289268,-80.8536487606,30
49,34,73.801554103,-80.2292312033,-15.0769224655,-84.8300562108,30
49,35,75.801554106,-80.6511163435,-14.6431160039,-88.806463663,30
49,36,77.801554112,-81.2145046446,-14.2093095417,-92.7828711212,30
61,36,78.001554116,-81.693375576,-14.1659288948,-93.1805118738,30
49,37,79.801554118,-81.8798466986,-13.7755030795,-96.7592785794,30
61,37,80.001554112,-81.2854058795,-13.7321224347,-97.1569193121,30
61,38,82.00155411,-81.0224843079,-13.2983159742,-101.133326754,30
61,39,84.001554109,-80.9257555897,-12.8645095135,-105.109734199,30
61,40,86.00155411,-81.0035542658,-12.4307030524,-109.086141647,30
61,41,88.001554112,-81.2491526249,-11.996896591,-113.062549097,30
73,41,88.201554115,-81.5152546663,-11.9535159443,-113.460189848,30
61,42,90.001554116,-81.6425881833,-11.5630901293,-117.038956551,30
73,42,90.201554109,-80.9295886945,-11.5197094847,-117.436597282,30
73,43,92.201554105,-80.4720046321,-11.0859030246,-121.41300472,30
73,44,94.201554102,-80.1788816254,-10.6520965644,-125.38941216,30
73,45,96.201554101,-80.077168896,-10.2182901037,-129.365819605,30
73,46,98.201554102,-80.1769487876,-9.78448364253,-133.342227053,30
73,47,100.201554105,-80.4683269244,-9.35067718096,-137.318634505,30
73,48,102.201554109,-80.9244856879,-8.91687071918,-141.295041959,30
85,48,102.401554115,-81.5176425517,-8.87349007179,-141.692682716,30
73,49,104.201554115,-81.5090969276,-8.48306425696,-145.271449417,30
85,49,104.401554109,-80.9736131305,-8.43968361217,-145.66909015,30
85,50,106.401554106,-80.5639802486,-8.0058771519,-149.64549759,30
85,51,108.401554103,-80.3218053591,-7.57207069164,-153.621905031,30
85,52,110.401554103,-80.2692527787,-7.13826423072,-157.598312477,30
85,53,112.401554104,-80.4114099559,-6.70445776959,-161.574719925,30
85,54,114.401554107,-80.7347473712,-6.27065130802,-165.551127377,30
97,54,114.601554117,-81.7615111377,-6.22727065976,-165.948768142,30
85,55,116.401554112,-81.2111146307,-5.83684484602,-169.527534834,30
97,55,116.601554112,-81.2489536241,-5.79346419993,-169.925175578,30
85,56,118.401554117,-81.8050154125,-5.40303838402,-173.50394229,30
97,56,118.601554108,-80.8676032949,-5.35965773988,-173.901583016,30
97,57,120.601554106,-80.6470827878,-4.9258512794,-177.877990459,30
97,58,122.601554106,-80.6066316635,-4.49204481848,-181.854397905,30
98,58,122.618220786,-81.9926019246,-4.48842976175,-181.88753466,30
97,59,124.601554107,-80.749959353,-4.05823835735,-185.830805353,30
98,59,124.618220786,-81.9891371793,-4.05462330083,-185.863942106,30
97,60,126.60155411,-81.0641775079,-3.62443189578,-189.807212805,30
109,60,126.801554117,-81.7317683415,-3.58105124817,-190.204853564,30
97,61,128.601554115,-81.5234053522,-3.19062543378,-193.783620261,30
109,61,128.80155411,-81.0872983524,-3.14724478877,-194.181260996,30
109,62,130.801554106,-80.5535695588,-2.71343832872,-198.157668434,30
109,63,132.801554102,-80.16988055,-2.27963186867,-202.134075873,30
109,64,134.8015541,-79.9700361803,-1.84582540819,-206.110483315,30
109,65,136.8015541,-79.9737273822,-1.41201894727,-210.086890761,30
109,66,138.801554102,-80.1805766702,-0.978212485921,-214.063298211,30
109,67,140.801554106,-80.5702586071,-0.544406024137,-218.039705666,30
109,68,142.801554111,-81.1086215539,-0.110599562135,-222.016113122,30
109,69,144.801554108,-80.8288209214,0.000916932036932,-220.066878089,30
109,70,146.801554104,-80.353078744,0.000894296594748,-216.066877991,30
109,71,148.801554101,-80.0433546053,0.000871661152552,-212.066877891,30
109,72,150.8015541,-79.9285971661,0.000849025710334,-208.066877787,30
109,73,152.801554101,-80.020435976,0.000826390268093,-204.066877679,30
109,74,154.801554103,-80.3095235753,0.000803754825841,-200.066877569,30
